38 Provinsi (2022=100),,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100) (Persen),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,2.12,2.33,3.25,3.14,3.32,3.09,2.51,2.29,1.5,1.69,1.55,2.17,-
PROV SUMATERA UTARA,2.16,2.5,3.67,3.96,4.26,3.35,2.06,1.86,1.4,1.59,1.49,2.12,-
PROV SUMATERA BARAT,2.57,3.32,3.93,3.81,4.17,4.04,2.44,2.22,1.52,1.65,0.8,0.89,-
PROV RIAU,2.35,2.86,3.57,3.99,4.41,3.56,2.22,1.99,1.38,1.51,0.87,1.25,-
PROV JAMBI,2.99,3.19,3.84,3.93,3.55,3.34,2.14,2.5,1.95,1.84,1.42,1.43,-
PROV SUMATERA SELATAN,3.35,3.15,3.24,3.12,2.98,2.48,1.87,1.8,1.4,1.09,0.73,1.2,-
PROV BENGKULU,2.83,3.68,3.56,3.62,3.71,3.64,2.31,2.34,1.48,1.34,0.82,0.84,-
PROV LAMPUNG,3.28,3.28,3.45,3.29,3.09,2.84,2.55,2.33,2.16,1.94,1.5,1.57,-
PROV KEPULAUAN BANGKA BELITUNG,1.21,1.86,1.8,1.93,1.25,1.08,0.84,1.02,0.49,0.22,0.22,0.75,-
PROV KEPULAUAN RIAU,3.38,2.65,3.37,3.04,3.67,3.54,2.81,2.64,2.53,2.31,1.89,2.09,-
PROV DKI JAKARTA,1.83,2.12,2.18,2.11,2.08,2.23,1.97,1.98,1.7,1.58,1.58,1.48,-
PROV JAWA BARAT,3.02,3.09,3.48,3.07,2.78,2.38,2.25,2.39,2.09,1.92,1.67,1.64,-
PROV JAWA TENGAH,2.69,2.98,3.4,3.27,2.66,2.22,1.86,1.77,1.57,1.6,1.33,1.67,-
PROV DI YOGYAKARTA,2.6,2.75,2.95,2.87,2.28,2.35,2.16,2.33,1.85,1.57,1.14,1.28,-
PROV JAWA TIMUR,2.47,2.81,3.04,3.25,2.83,2.21,2.13,2.05,1.73,1.66,1.41,1.51,-
PROV BANTEN,2.59,2.81,3.42,3.42,2.86,2.49,2.3,2.45,2.03,1.94,1.9,1.88,-
PROV BALI,2.61,2.98,3.67,4.02,3.54,2.71,2.53,2.32,2.67,2.51,2.5,2.34,-
PROV NUSA TENGGARA BARAT,2.87,3,3.63,3.31,2.77,2.12,1.91,2.01,1.77,1.44,1.46,1.28,-
PROV NUSA TENGGARA TIMUR,2.7,3.01,1.92,2.35,2.41,1.54,0.85,1.22,1.07,1.13,0.83,1.19,-
PROV KALIMANTAN BARAT,2.75,2.56,2.51,2.72,2.84,2.28,1.58,1.47,1.79,1.58,1.61,1.71,-
PROV KALIMANTAN TENGAH,3.4,2.46,2.72,2.99,2.72,2.22,1.28,1.29,1.45,1.03,1.02,1.03,-
PROV KALIMANTAN SELATAN,2.79,2.27,2.58,3,2.63,2.34,1.85,1.71,1.98,1.81,2.01,1.95,-
PROV KALIMANTAN TIMUR,2.95,3.28,3.03,3.21,3.29,2.99,2.18,2.13,2.16,1.75,1.54,1.47,-
PROV KALIMANTAN UTARA,1.99,2.33,2.62,2.47,2.42,2.39,1.98,1.59,1.74,2.2,1.68,1.29,-
PROV SULAWESI UTARA,3.81,3.55,3.82,4.24,4.15,4.42,4.03,4.29,3.66,2.58,2.12,0.44,-
PROV SULAWESI TENGAH,2.97,3.37,3.38,3.4,3.1,2.82,2.45,2.14,2.15,1.91,1.71,1.29,-
PROV SULAWESI SELATAN,2.38,2.93,2.75,2.61,2.42,2.03,1.74,1.77,1.67,1.53,1.52,1.23,-
PROV SULAWESI TENGGARA,2.46,2.9,2.93,2.93,2.57,2.35,1.73,1.62,1.06,0.71,1.05,1.05,-
PROV GORONTALO,4.4,3.73,4.13,4.65,4.91,3.93,3.07,2.65,2.78,0.81,0.27,-0.79,-
PROV SULAWESI BARAT,2.25,2.22,2.76,2.02,1.25,2.32,2.08,1.59,2.05,1.63,1.18,1.49,-
PROV MALUKU,4.12,3.02,2.75,2.43,3.21,3.63,2.71,2.58,1.79,2.13,2.23,1.28,-
PROV MALUKU UTARA,4.33,2.71,3.57,2.93,3.27,3.21,2.96,2.89,3.56,2.2,2.78,1.5,-
PROV PAPUA BARAT,3.05,3.61,4.78,3.59,4.56,3.73,2.83,2.8,2.91,2.05,2.84,2.53,-
PROV PAPUA BARAT DAYA,1.49,1.81,1.42,2.45,1.87,1.28,1.77,1.66,2.59,2,2.33,1.87,-
PROV PAPUA,1.52,2.02,1.98,1.78,2.18,1.47,0.91,1.03,0.82,1.1,2.46,1.75,-
PROV PAPUA SELATAN,4.51,4.61,3.7,3.04,4.19,2.04,1.2,1.8,1.6,1.28,1.23,1.78,-
PROV PAPUA TENGAH,4.76,3.72,4.1,4.37,5.39,4.39,4.16,3.74,3.83,4.19,4.35,3.27,-
PROV PAPUA PEGUNUNGAN,3.93,2.87,2.37,2.71,3.57,5.65,5.09,5.05,4.14,2.85,3.58,5.36,-
INDONESIA,2.57,2.75,3.05,3,2.84,2.51,2.13,2.12,1.84,1.71,1.55,1.57,-